"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Seshasayee Paper and Boards Limited","63068140","27057239","    42.90","36010901","0","     0.00","     0.00",,"23-Oct-2025 16:30:04","393367","53489778","0.74",,"23-Oct-2025 16:30:04"
"Setco Automotive Limited","133767275","79257488","    59.25","54509787","74972763","    94.59","    56.05",,"23-Oct-2025 16:30:50","76934540","132890400","57.89",,"23-Oct-2025 16:30:50"
"Setubandhan Infrastructure Limited","125678260","34458803","    27.42","91219457","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","1244667","125678240","0.99",,"23-Oct-2025 16:30:46"
"Seya Industries Limited","26570540","17138506","    64.50","9432034","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","208443","25197240","0.83",,"23-Oct-2025 16:30:53"
"Shah Alloys Limited","19797540","10640442","    53.75","9157098","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","334189","19457616","1.72",,"23-Oct-2025 16:30:32"
"Shah Metacorp Limited","885210866","258037226","    29.15","627173640","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","10077437","593878676","1.7",,"23-Oct-2025 16:30:45"
"Shakti Pumps (India) Limited","123397965","62072796","    50.30","61325169","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","4931123","123388765","4",,"23-Oct-2025 16:30:46"
"Shalby Limited","108009770","80993388","    74.99","27016382","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","3653748","107988042","3.38",,"23-Oct-2025 16:30:52"
"Shalimar Paints Limited","83711178","62751151","    74.96","20960027","38495795","    61.35","    45.99",,"23-Oct-2025 16:30:12","41960473","83537317","50.23",,"23-Oct-2025 16:30:12"
"Shanthi Gears Limited","76715853","54063849","    70.47","22652004","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","600311","76152530","0.79",,"23-Oct-2025 16:30:17"
"Sharda Cropchem Limited","90220495","67503833","    74.82","22716662","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","1385807","90220495","1.54",,"23-Oct-2025 16:30:48"
"Share India Securities Limited","218825530","106378244","    48.61","112447286","55490000","    52.16","    25.36",,"23-Oct-2025 16:30:53","103804390","218825530","47.44",,"23-Oct-2025 16:30:53"
"Sheela Foam Limited","108710778","71409463","    65.69","37301315","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","1355278","108710767","1.25",,"23-Oct-2025 16:30:50"
"Shekhawati Industries Limited","34470000","22101425","    64.12","12368575","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","215034","34469678","0.62",,"23-Oct-2025 16:30:45"
"Shemaroo Entertainment Limited","27320299","17906920","    65.54","9413379","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","400116","27320299","1.46",,"23-Oct-2025 16:30:48"
"Shilpa Medicare Limited","97790908","43249715","    44.23","54541193","3425000","     7.92","     3.50",,"23-Oct-2025 16:30:43","19308499","195457066","9.88",,"23-Oct-2025 16:30:43"
"Shipping Corporation Of India Limited","465799010","296942977","    63.75","168856033","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","25410842","465338223","5.46",,"23-Oct-2025 16:30:07"
"Shirpur Gold Refinery Limited","29137202","12720703","    43.66","16416499","5000000","    39.31","    17.16",,"23-Oct-2025 16:30:28","5158588","29072490","17.74",,"23-Oct-2025 16:30:28"
"Shivam Autotech Limited","131495219","91417272","    69.52","40077947","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","1041123","130612139","0.8",,"23-Oct-2025 16:30:36"
"Shoppers Stop Limited","110112105","72159586","    65.53","37952519","7077204","     9.81","     6.43",,"23-Oct-2025 16:30:32","7386450","110112095","6.71",,"23-Oct-2025 16:30:32"
"Shree Pushkar Chemicals & Fertilisers Limited","32337691","22429042","    69.36","9908649","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","885753","32337686","2.74",,"23-Oct-2025 16:30:49"
"Shree Ram Proteins Limited","214200000","8734679","     4.08","205465321","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","5666038","214200000","2.65",,"23-Oct-2025 16:30:52"
"Shree Rama Multi-Tech Limited","133468005","82177162","    61.57","51290843","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","1026466","129975594","0.79",,"23-Oct-2025 16:30:27"
"Shree Rama Newsprint Limited","147522032","110290547","    74.76","37231485","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","3630371","145056830","2.5",,"23-Oct-2025 16:30:35"
"Shree Renuka Sugars Limited","2128489773","1329875232","    62.48","798614541","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","87875815","2125847453","4.13",,"23-Oct-2025 16:30:33"
"Shrenik Limited","612000000","155353220","    25.38","456646780","155260220","    99.94","    25.37",,"23-Oct-2025 16:30:51","158344310","611999990","25.87",,"23-Oct-2025 16:30:51"
"Shreyans Industries Limited","13824550","6981093","    50.50","6843457","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","198258","13526048","1.47",,"23-Oct-2025 16:30:12"
"Shriram Finance Limited","1881007883","477581380","    25.39","1403426503","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","13978441","1874855403","0.75",,"23-Oct-2025 16:30:23"
"Shyam Century Ferrous Limited","212172990","105152312","    49.56","107020678","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","6993825","211891768","3.3",,"23-Oct-2025 16:30:49"
"Shyam Metalics And Energy Limited","279131853","209098182","    74.91","70033671","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","14707388","279131853","5.27",,"23-Oct-2025 16:30:53"
"Shyam Telecom Limited","11270000","7455875","    66.16","3814125","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","57774","11249941","0.51",,"23-Oct-2025 16:30:36"
"Sical Logistics Limited","65249080","58641903","    89.87","6607177","32843780","    56.01","    50.34",,"23-Oct-2025 16:30:54","32930544","65165509","50.53",,"23-Oct-2025 16:30:54"
"Siemens Limited","356120505","267089913","    75.00","89030592","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","2109837","355140270","0.59",,"23-Oct-2025 16:30:14"
"Sigachi Industries Limited","382117010","154681800","    40.48","227435210","61170000","    39.55","    16.01",,"23-Oct-2025 16:30:53","86685124","382117010","22.69",,"23-Oct-2025 16:30:53"
"Silver Touch Technologies Limited","12681000","9461166","    74.61","3219834","385864","     4.08","     3.04",,"23-Oct-2025 16:30:52","770843","12681000","6.08",,"23-Oct-2025 16:30:52"
"Simbhaoli Sugars Limited","41279020","22015790","    53.33","19263230","2632498","    11.96","     6.38",,"23-Oct-2025 16:30:50","3251151","40789565","7.97",,"23-Oct-2025 16:30:50"
"Simplex Infrastructures Limited","79095346","28470163","    35.99","50625183","9421636","    33.09","    11.91",,"23-Oct-2025 16:30:14","14250962","78715576","18.1",,"23-Oct-2025 16:30:14"
"Sindhu Trade Links Limited","1541928780","1155968880","    74.97","385959900","3192000","     0.28","     0.21",,"23-Oct-2025 16:30:54","33117814","1505911620","2.2",,"23-Oct-2025 16:30:54"
"Sintercom India Limited","27527822","19197822","    69.74","8330000","1133035","     5.90","     4.12",,"23-Oct-2025 16:30:52","1192255","27527822","4.33",,"23-Oct-2025 16:30:52"
"Siti Networks Limited","872053848","53222365","     6.10","818831483","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","14611856","871735082","1.68",,"23-Oct-2025 16:30:37"
"Siyaram Silk Mills Limited","45370088","30598404","    67.44","14771684","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","853872","44898327","1.9",,"23-Oct-2025 16:30:17"
"Smartlink Holdings Limited","9975000","7266375","    72.85","2708625","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","68155","9969496","0.68",,"23-Oct-2025 16:30:28"
"Smc Global Securities Limited","104700000","70674380","    67.50","34025620","9352205","    13.23","     8.93",,"23-Oct-2025 16:30:53","17079211","104508870","16.34",,"23-Oct-2025 16:30:53"
"Snowman Logistics Limited","167087995","83560846","    50.01","83527149","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","11626149","167087995","6.96",,"23-Oct-2025 16:30:48"
"Sobha Limited","106953834","56558845","    52.88","50394989","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","3785976","106923675","3.54",,"23-Oct-2025 16:30:36"
"Softtech Engineers Limited","13842138","2607872","    18.84","11234266","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","2824871","13842138","20.41",,"23-Oct-2025 16:30:52"
"Solar Industries India Limited","90490055","66191271","    73.15","24298784","1003821","     1.52","     1.11",,"23-Oct-2025 16:30:35","2787774","90490045","3.08",,"23-Oct-2025 16:30:35"
"Solara Active Pharma Sciences Limited","48153022","20231281","    42.01","27921741","7145788","    35.32","    14.84",,"23-Oct-2025 16:30:52","10030452","36118829","27.77",,"23-Oct-2025 16:30:52"
"Solex Energy Limited","10802489","7145780","    66.15","3656709","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","149592","10802489","1.38",,"23-Oct-2025 16:30:52"
"Soma Textiles & Industries Limited","33033000","24768058","    74.98","8264942","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","53463","32549205","0.16",,"23-Oct-2025 16:30:23"
"Somany Ceramics Limited","41012806","22558791","    55.00","18454015","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","686128","40901632","1.68",,"23-Oct-2025 16:30:14"
"Sona Blw Precision Forgings Limited","621720975","174210655","    28.02","447510320","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","7111364","621720975","1.14",,"23-Oct-2025 16:30:53"
"Sonata Software Limited","280424816","82014315","    29.25","198410501","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","11963774","279899321","4.27",,"23-Oct-2025 16:30:26"
"Southern Petrochemicals Industries Corporation  Limited","203640336","116533288","    57.23","87107048","0","     0.00","     0.00",,"23-Oct-2025 16:30:08","10461994","200227414","5.23",,"23-Oct-2025 16:30:08"
"Spandana Sphoorty Financial Limited","88639506","42686336","    48.16","45953170","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","3142670","71305144","4.41",,"23-Oct-2025 16:30:53"
"Speciality Restaurants Limited","48235657","24215057","    50.20","24020600","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","915794","48235618","1.9",,"23-Oct-2025 16:30:47"
"Spentex Industries Limited","10394680","9874932","    95.00","519748","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","38154633","88714472","43.01",,"23-Oct-2025 16:30:22"
"Sree Rayalaseema Hi-Strength Hypo Limited","17164821","10614869","    61.84","6549952","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","251064","15949847","1.57",,"23-Oct-2025 16:30:39"
"Sreeleathers Limited","23155012","17366194","    75.00","5788818","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","319348","23154400","1.38",,"23-Oct-2025 16:30:48"
"Sri Adhikari Brothers Television Network Limited","25373056","15026818","    59.22","10346238","24528","     0.16","     0.10",,"23-Oct-2025 16:30:54","71457","25373056","0.28",,"23-Oct-2025 16:30:54"
"Standard Industries Limited","64328941","13063698","    20.31","51265243","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","876147","38333468","2.29",,"23-Oct-2025 16:30:30"
"Star Cement Limited","404180417","232775474","    57.59","171404943","3108940","     1.34","     0.77",,"23-Oct-2025 16:30:51","25505101","403810797","6.32",,"23-Oct-2025 16:30:51"
"Star Paper Mills Limited","15608350","7012344","    44.93","8596006","3310758","    47.21","    21.21",,"23-Oct-2025 16:30:22","4787806","15553458","30.78",,"23-Oct-2025 16:30:22"
"State Bank Of India","9230617586","5157418758","    55.87","4073198828","0","     0.00","     0.00",,"23-Oct-2025 16:30:09","69929330","9186032634","0.76",,"23-Oct-2025 16:30:09"
"Steel Authority of India Limited","4130525289","2684782550","    65.00","1445742739","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","110666556","4128193223","2.68",,"23-Oct-2025 16:30:16"
"Steel City Securities Limited","15107095","11284639","    74.70","3822456","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","330583","15053795","2.2",,"23-Oct-2025 16:30:51"
"Steel Strips Wheels Limited","157180425","96103152","    61.14","61077273","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","3057933","155888645","1.96",,"23-Oct-2025 16:30:32"
"Stel Holdings Limited","18455405","13071346","    70.83","5384059","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","318004","17787153","1.79",,"23-Oct-2025 16:30:45"
"Sterling Tools Limited","36184318","23527237","    65.02","12657081","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","869731","36119292","2.41",,"23-Oct-2025 16:30:23"
"Sterling and Wilson Renewable Energy Limited","233531720","106779749","    45.72","126751971","29494953","    27.62","    12.63",,"23-Oct-2025 16:30:53","54115836","233494316","23.18",,"23-Oct-2025 16:30:53"
"Sterlite Technologies Limited","488007223","216925966","    44.45","271081257","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","15914444","486440690","3.27",,"23-Oct-2025 16:30:28"
"Stove Kraft Limited","33101500","18469116","    55.80","14632384","2700000","    14.62","     8.16",,"23-Oct-2025 16:30:53","5391788","33101500","16.29",,"23-Oct-2025 16:30:53"
"Strides Pharma Science Limited","92172714","25681268","    27.86","66491446","11331927","    44.13","    12.29",,"23-Oct-2025 16:30:26","20584642","92106719","22.35",,"23-Oct-2025 16:30:26"
"Styrenix Performance Materials Limited","17585625","8131158","    46.24","9454467","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","1136435","17494987","6.5",,"23-Oct-2025 16:30:16"
"Subros Limited","65235750","24000000","    36.79","41235750","0","     0.00","     0.00",,"23-Oct-2025 16:30:14","582381","63165792","0.92",,"23-Oct-2025 16:30:14"
"Sudarshan Chemical Industries Limited","78596469","6440604","     8.19","72155865","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","2800211","77812778","3.6",,"23-Oct-2025 16:30:21"
"Sula Vineyards Limited","84430029","20562731","    24.35","63867298","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","6623502","84430029","7.84",,"23-Oct-2025 16:30:54"
"Sumeet Industries Limited","105265136","94560193","    89.83","10704943","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","1714559","175956343","0.97",,"23-Oct-2025 16:30:45"
"Summit Securities Limited","10901781","8137866","    74.65","2763915","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","279267","10827234","2.58",,"23-Oct-2025 16:30:45"
"Sun Pharma Advanced Research Company Limited","324521588","213115095","    65.67","111406493","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","13267609","323986435","4.1",,"23-Oct-2025 16:30:39"
"Sun Pharmaceutical Industries Limited","2399334970","1307134535","    54.48","1092200435","12690000","     0.97","     0.53",,"23-Oct-2025 16:30:11","47771610","2395917633","1.99",,"23-Oct-2025 16:30:11"
"Sun TV Network Limited","394084620","295563457","    75.00","98521163","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","3132813","394084311","0.79",,"23-Oct-2025 16:30:35"
"Sundaram Brake Linings Limited","3934575","2515602","    63.94","1418973","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","37063","3869431","0.96",,"23-Oct-2025 16:30:23"
"Sundaram Finance Limited","111103860","42236152","    38.02","68867708","0","     0.00","     0.00",,"23-Oct-2025 16:30:08","970425","109849161","0.88",,"23-Oct-2025 16:30:08"
"Sundaram Multi Pap Limited","473877773","147440311","    31.11","326437462","3272000","     2.22","     0.69",,"23-Oct-2025 16:30:44","16825419","473440608","3.55",,"23-Oct-2025 16:30:44"
